,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
0,YU SERVICES LLC,BUSINESS ANALYST,"41,200","RICHARDSON, TX",05/04/2020,10/01/2020,CERTIFIED
1,HILTON DOMESTIC OPERATING COMPANY INC,BUSINESS ANALYST,"45,120","CARROLLTON, TX",05/19/2020,10/01/2020,CERTIFIED
2,TOFBA INTERNATIONAL,BUSINESS ANALYST,"46,160","HAWTHORNE, CA",05/19/2020,10/01/2020,CERTIFIED
3,TERRAPINN INC,BUSINESS ANALYST,"47,660","NEW YORK, NY",05/06/2020,10/01/2020,CERTIFIED
4,ENTERPRISE BUSINESS SOLUTIONS INC,BUSINESS ANALYST,"48,000","JEFFERSON CITY, MO",06/05/2020,06/15/2020,CERTIFIED
5,WAICHI CORPORATION,BUSINESS ANALYST,"49,240","ELKRIDGE, MD",04/01/2020,09/03/2020,CERTIFIED
6,UNITED GEORGIA BEAUTY SUPPLY ASSOCIATION INC,BUSINESS ANALYST,"49,820","DORAVILLE, GA",06/17/2020,10/01/2020,CERTIFIED
7,HOLIDAY OIL,BUSINESS ANALYST,"50,000","WEST VALLEY CITY, UT",03/20/2020,03/20/2020,DENIED
8,JNS RX LLC,BUSINESS ANALYST,"50,480","RIVERVIEW, FL",03/10/2020,09/07/2020,CERTIFIED
9,ITALLIANZ INC,BUSINESS ANALYST,"52,000","WINTER HAVEN, FL",06/13/2020,10/01/2020,CERTIFIED
10,HILTON DOMESTIC OPERATING COMPANY INC,BUSINESS ANALYST,"52,440","CARROLLTON, TX",08/31/2020,10/01/2020,CERTIFIED
11,LTS ASSOCIATE INC,BUSINESS ANALYST,"53,900","CITY OF INDUSTRY, CA",05/15/2020,06/01/2020,CERTIFIED
12,METIS THEMIS LLC,BUSINESS ANALYST,"54,000","LAKE FOREST, CA",04/30/2020,10/01/2020,CERTIFIED
13,REIKO WIRELESS INC,BUSINESS ANALYST,"54,000","COMMACK, NY",06/02/2020,10/01/2020,CERTIFIED
14,UNIVERSAL FLOORING SUPPLY LLC,BUSINESS ANALYST,"54,780","STAFFORD, TX",04/10/2020,10/01/2020,CERTIFIED
15,KSTREET INTERNATIONAL INC,BUSINESS ANALYST,"54,780","HOUSTON, TX",05/05/2020,10/01/2020,DENIED
16,KSTREET INTERNATIONAL INC,BUSINESS ANALYST,"54,780","HOUSTON, TX",05/11/2020,10/01/2020,CERTIFIED
17,BELCAN SERVICES GROUP LTD PARTNERSHIP,BUSINESS ANALYST,"55,260","ST. LOUIS, MO",06/12/2020,07/01/2020,CERTIFIED
18,BEST CHEER STONE INC,BUSINESS ANALYST,"56,000","ANAHEIM, CA",04/16/2020,09/03/2020,CERTIFIED
19,THE FOUNTAIN GROUP LLC,BUSINESS ANALYST,"56,000","IRVING, TX",06/15/2020,10/01/2020,CERTIFIED
